measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1992,5.226865439204509,8.21095994448224,3.173384680215857
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1992,0.3632742880960395,0.6078482050077685,0.19997887079238716
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1994,0.11002571307091417,0.19661359585251958,0.057527957961212
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1994,0.0018723384916714393,0.002956426708148393,0.001008666917211701
Deaths,Global,Both,All Ages,Upper respiratory infections,Ambient particulate matter pollution,Rate,1991,0.0005453163848642204,0.0010736708331260108,0.0002005800439454294
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1994,0.15202559271052404,0.2558485125384653,0.08178557459033181
Deaths,Global,Both,All Ages,Upper respiratory infections,Ambient particulate matter pollution,Rate,1992,0.0005184812508467945,0.0010158726887889646,0.0001877634881370915
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1994,1.1778617024240194,1.634942596669454,0.8004295433010531
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1991,4.237457893818759,5.4039801175536875,3.0296079378383065
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1994,0.07663466192974132,0.13776175103195873,0.03856816566136997
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1993,4.441922592983867,5.685967055514715,3.2188412136932216
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1991,5.3164221169150325,8.403032904588743,3.2066023073829064
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1992,11.517009465943966,14.454301790163212,8.629131852629637
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1991,0.9453915786737976,1.4731458188713302,0.552135769314368
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1993,0.9896841956150614,1.4563589318204484,0.5906200718170083
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1991,0.36834095447467285,0.6291604377194309,0.20293305349280405
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1992,0.00024608335388695145,0.0007706468305177797,3.789742930504111e-05
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,1992,0.01737774319450429,0.02985289640334727,0.009500199456181514
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1994,4.51939831102483,5.760834953067691,3.2710789010843664
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1994,1.0096495625840054,1.4830926868410959,0.6060013884146922
Deaths,Global,Both,All Ages,Neonatal preterm birth,Ambient particulate matter pollution,Rate,1992,0.8457799967530153,1.2880622456300104,0.5193961637534261
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1991,4.3969253369163495,6.182739220861906,2.895268501591373
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1992,0.4946194938427282,0.8197906287555029,0.26924123495788066
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1992,6.8181205973714105,9.888051859966371,4.376606473094802
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1993,5.125937331346869,7.932770095484446,3.1286453449710843
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Rate,1992,2.2739442683396875,3.0969455344301187,1.5261785206751255
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1991,11.40820957039758,14.434215311158553,8.447965546221367
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1993,0.3596587772755222,0.5967460339448764,0.2033243864451958
Deaths,Global,Both,All Ages,Upper respiratory infections,Ambient particulate matter pollution,Rate,1994,0.0004740160215779683,0.0008969704665914671,0.00017414814455214974
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1992,4.493386122721896,6.20774661809837,2.961973903259299
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1994,5.018013179680894,7.708756741482386,3.093305124495651
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1991,6.6932850466998275,9.739374489605698,4.213304493753698
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1994,0.3565118108834637,0.5894925174398947,0.20649155222427026
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1993,11.842294873929221,14.846174067183659,8.911079491302884
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,1992,0.004288328904315585,0.011059924069264171,0.001812727179362386
